Domain,IP,ASN,Company,Flag,Added,Details,Service Ticket,Reported to ICANN
student.hccts.org,,,,No,2023-04-28 10:03:00.000,,,
stanfordschools.org,,,,No,2023-04-28 14:48:00.000,,,
cdg.io,,,,No,2023-04-28 21:50:00.000,,,
tjsl.edu,,,,No,2023-04-30 20:47:00.000,,,
palomar.edu,,,,No,2023-05-01 12:52:00.000,,,
live.de,,,,No,2023-05-01 20:07:00.000,,,
sedgwick.com,,,,No,2023-05-09 07:21:00.000,,,
urbanexcellence.net,,,,No,2023-05-10 06:33:00.000,,,
calpoly.edu,,,,No,2023-05-10 11:35:00.000,,,
wnco.com,,,,No,2023-05-11 17:29:00.000,,,
live.fr,,,,No,2023-05-11 18:50:00.000,,,
alumni.usc.edu,,,,No,2023-05-12 07:24:00.000,,,
pkhomes.com,,,,No,2023-05-12 12:48:00.000,,,
giant.cos.edu,,,,No,2023-05-17 16:19:00.000,,,
ucsb.edu,,,,No,2023-05-19 20:48:00.000,,,
zippyrsa.com,,,,No,2023-05-20 18:33:00.000,,,
chancetalent.com,,,,No,2023-05-24 16:13:00.000,,,
bop.gov,,,,No,2023-05-28 10:17:00.000,,,
